mode,views_per_model,forward_passes_per_sample,samples,correct,accuracy,loss,seconds
none,1,1,10000,8503,85.03,0.6505815935134888,11.038800954818726
flip_shift,10,10,10000,8576,85.76,0.6297930652618409,6.392812013626099
