mode,models,views_per_model,forward_passes_per_sample,loss,accuracy,correct,samples,seconds
none,1,1,1,1.2481746530532838,71.83,7183,10000,13.399160861968994
flip_shift,1,10,10,1.2148101879119872,73.31,7331,10000,18.5167179107666
