mode,models,views_per_model,forward_passes_per_sample,loss,accuracy,correct,samples,seconds
none,1,1,1,0.3130643120288849,93.23,9323,10000,13.017032623291016
flip,1,2,2,0.30441475253105166,93.53,9353,10000,4.360153675079346
flip_shift,1,10,10,0.3019007523059845,93.66,9366,10000,21.155154705047607
