actual/predicted,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,945,3,13,6,1,0,3,2,20,7
automobile,4,970,1,0,1,0,0,0,4,20
bird,16,0,918,17,18,6,17,7,1,0
cat,11,1,16,827,24,84,22,11,1,3
deer,2,1,20,13,933,13,4,14,0,0
dog,3,1,8,79,12,885,2,8,1,1
frog,2,1,17,13,3,4,959,0,0,1
horse,6,0,8,5,12,15,0,952,1,1
ship,14,2,2,2,1,1,2,0,975,1
truck,5,21,2,2,0,1,0,0,10,959
