actual/predicted,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,948,4,12,5,1,0,1,3,19,7
automobile,5,972,0,0,1,0,0,0,4,18
bird,15,0,922,17,16,8,16,5,1,0
cat,6,1,14,837,27,79,19,11,3,3
deer,3,1,15,14,935,10,8,14,0,0
dog,2,1,9,68,13,895,3,9,0,0
frog,3,1,14,14,2,2,961,2,0,1
horse,6,0,4,9,10,12,0,957,1,1
ship,12,2,3,1,1,0,2,0,978,1
truck,3,20,2,2,0,1,1,0,10,961
