mode,models,views_per_model,forward_passes_per_sample,loss,accuracy,correct,samples,seconds
none,1,1,1,1.1145124252319336,73.03,7303,10000,14.073319673538208
flip,1,2,2,1.0918611379623413,74.03,7403,10000,4.8304102420806885
flip_shift,1,10,10,1.0790327930450438,74.32,7432,10000,20.406326293945312
