mode,models,views_per_model,forward_passes_per_sample,loss,accuracy,correct,samples,seconds
none,1,1,1,1.1606602889060975,72.54,7254,10000,14.390353202819824
flip,1,2,2,1.143702775287628,73.21,7321,10000,4.46052885055542
flip_shift,1,10,10,1.1340624731063842,73.47,7347,10000,17.44475817680359
