mode,views_per_model,forward_passes_per_sample,samples,correct,accuracy,loss,seconds
none,1,1,10000,9695,96.95,0.20791002385616303,12.328519821166992
flip_shift,10,10,10000,9722,97.22,0.20279419372081756,16.439757585525513
