mode,views_per_model,forward_passes_per_sample,samples,correct,accuracy,loss,seconds
none,1,1,10000,8514,85.14,0.6468654990196228,12.368632316589355
flip_shift,10,10,10000,8569,85.69,0.6269942180633545,16.038494110107422
