mode,models,views_per_model,forward_passes_per_sample,loss,accuracy,correct,samples,seconds
none,1,1,1,1.239077145385742,71.64,7164,10000,13.762645959854126
flip_shift,1,10,10,1.2067139684677124,72.55,7255,10000,18.95931124687195
