record_type,layer,measurement,operation,num_total,num_silent,num_spiking,sparsity_percent,input_events,input_neurons,nonzero_weights,weight_count,groups,kernel_h,kernel_w,dense_macs_per_sample,dense_macs_total_dataset,theoretical_synops_per_sample,theoretical_synops_total_dataset
operation,downsample_layers.1.0,,dense_conv,,,,,,,,,1,2,2,57802752.0,578027520000,0.0,0
operation,downsample_layers.2.0,,dense_conv,,,,,,,,,1,2,2,57802752.0,578027520000,0.0,0
operation,downsample_layers.3.0,,dense_conv,,,,,,,,,1,2,2,57802752.0,578027520000,0.0,0
operation,head,,dense_linear,,,,,,,,,,,,7680.0,76800000,0.0,0
operation,stages.0.0,,pw1,,,,,2924267286,3010560000,36864,36864,,,,0.0,0,112291863.7824,1122918637824
operation,stages.0.0,,pw2,,,,,9586874618,12042240000,36864,36864,,,,0.0,0,92033996.3328,920339963328
operation,stages.0.0.dwconv,,depthwise_conv,,,,,,,,,96,7,7,14751744.0,147517440000,0.0,0
operation,stages.0.1,,pw1,,,,,2932788678,3010560000,36864,36864,,,,0.0,0,112619085.2352,1126190852352
operation,stages.0.1,,pw2,,,,,9026339335,12042240000,36864,36864,,,,0.0,0,86652857.616,866528576160
operation,stages.0.1.dwconv,,depthwise_conv,,,,,,,,,96,7,7,14751744.0,147517440000,0.0,0
operation,stages.0.2,,pw1,,,,,2792091017,3010560000,36864,36864,,,,0.0,0,107216295.0528,1072162950528
operation,stages.0.2,,pw2,,,,,7691862503,12042240000,36864,36864,,,,0.0,0,73841880.0288,738418800288
operation,stages.0.2.dwconv,,depthwise_conv,,,,,,,,,96,7,7,14751744.0,147517440000,0.0,0
operation,stages.1.0,,pw1,,,,,1371373787,1505280000,147456,147456,,,,0.0,0,105321506.8416,1053215068416
operation,stages.1.0,,pw2,,,,,3295224489,6021120000,147456,147456,,,,0.0,0,63268310.1888,632683101888
operation,stages.1.0.dwconv,,depthwise_conv,,,,,,,,,192,7,7,7375872.0,73758720000,0.0,0
operation,stages.1.1,,pw1,,,,,1382413590,1505280000,147456,147456,,,,0.0,0,106169363.712,1061693637120
operation,stages.1.1,,pw2,,,,,3430055920,6021120000,147456,147456,,,,0.0,0,65857073.664,658570736640
operation,stages.1.1.dwconv,,depthwise_conv,,,,,,,,,192,7,7,7375872.0,73758720000,0.0,0
operation,stages.1.2,,pw1,,,,,1331887448,1505280000,147456,147456,,,,0.0,0,102288956.0064,1022889560064
operation,stages.1.2,,pw2,,,,,2874215700,6021120000,147456,147456,,,,0.0,0,55184941.44,551849414400
operation,stages.1.2.dwconv,,depthwise_conv,,,,,,,,,192,7,7,7375872.0,73758720000,0.0,0
operation,stages.2.0,,pw1,,,,,570645739,752640000,589824,589824,,,,0.0,0,87651185.5104,876511855104
operation,stages.2.0,,pw2,,,,,440919665,3010560000,589824,589824,,,,0.0,0,16931315.136,169313151360
operation,stages.2.0.dwconv,,depthwise_conv,,,,,,,,,384,7,7,3687936.0,36879360000,0.0,0
operation,stages.2.1,,pw1,,,,,749750367,752640000,589824,589824,,,,0.0,0,115161656.3712,1151616563712
operation,stages.2.1,,pw2,,,,,1340502112,3010560000,589824,589824,,,,0.0,0,51475281.1008,514752811008
operation,stages.2.1.dwconv,,depthwise_conv,,,,,,,,,384,7,7,3687936.0,36879360000,0.0,0
operation,stages.2.2,,pw1,,,,,688876921,752640000,589824,589824,,,,0.0,0,105811495.0656,1058114950656
operation,stages.2.2,,pw2,,,,,1178331636,3010560000,589824,589824,,,,0.0,0,45247934.8224,452479348224
operation,stages.2.2.dwconv,,depthwise_conv,,,,,,,,,384,7,7,3687936.0,36879360000,0.0,0
operation,stages.2.3,,pw1,,,,,685172813,752640000,589824,589824,,,,0.0,0,105242544.0768,1052425440768
operation,stages.2.3,,pw2,,,,,804867713,3010560000,589824,589824,,,,0.0,0,30906920.1792,309069201792
operation,stages.2.3.dwconv,,depthwise_conv,,,,,,,,,384,7,7,3687936.0,36879360000,0.0,0
operation,stages.2.4,,pw1,,,,,681698473,752640000,589824,589824,,,,0.0,0,104708885.4528,1047088854528
operation,stages.2.4,,pw2,,,,,845830606,3010560000,589824,589824,,,,0.0,0,32479895.2704,324798952704
operation,stages.2.4.dwconv,,depthwise_conv,,,,,,,,,384,7,7,3687936.0,36879360000,0.0,0
operation,stages.2.5,,pw1,,,,,675503566,752640000,589824,589824,,,,0.0,0,103757347.7376,1037573477376
operation,stages.2.5,,pw2,,,,,943912246,3010560000,589824,589824,,,,0.0,0,36246230.2464,362462302464
operation,stages.2.5.dwconv,,depthwise_conv,,,,,,,,,384,7,7,3687936.0,36879360000,0.0,0
operation,stages.2.6,,pw1,,,,,680640873,752640000,589824,589824,,,,0.0,0,104546438.0928,1045464380928
operation,stages.2.6,,pw2,,,,,840114281,3010560000,589824,589824,,,,0.0,0,32260388.3904,322603883904
operation,stages.2.6.dwconv,,depthwise_conv,,,,,,,,,384,7,7,3687936.0,36879360000,0.0,0
operation,stages.2.7,,pw1,,,,,664648989,752640000,589824,589824,,,,0.0,0,102090084.7104,1020900847104
operation,stages.2.7,,pw2,,,,,559413812,3010560000,589824,589824,,,,0.0,0,21481490.3808,214814903808
operation,stages.2.7.dwconv,,depthwise_conv,,,,,,,,,384,7,7,3687936.0,36879360000,0.0,0
operation,stages.2.8,,pw1,,,,,637176628,752640000,589824,589824,,,,0.0,0,97870330.0608,978703300608
operation,stages.2.8,,pw2,,,,,1195773978,3010560000,589824,589824,,,,0.0,0,45917720.7552,459177207552
operation,stages.2.8.dwconv,,depthwise_conv,,,,,,,,,384,7,7,3687936.0,36879360000,0.0,0
operation,stages.3.0,,pw1,,,,,242096855,376320000,2359296,2359296,,,,0.0,0,74372153.856,743721538560
operation,stages.3.0,,pw2,,,,,257885981,1505280000,2359296,2359296,,,,0.0,0,19805643.3408,198056433408
operation,stages.3.0.dwconv,,depthwise_conv,,,,,,,,,768,7,7,1843968.0,18439680000,0.0,0
operation,stages.3.1,,pw1,,,,,261371585,376320000,2359296,2359296,,,,0.0,0,80293350.912,802933509120
operation,stages.3.1,,pw2,,,,,238211058,1505280000,2359296,2359296,,,,0.0,0,18294609.2544,182946092544
operation,stages.3.1.dwconv,,depthwise_conv,,,,,,,,,768,7,7,1843968.0,18439680000,0.0,0
operation,stages.3.2,,pw1,,,,,250569876,376320000,2359296,2359296,,,,0.0,0,76975065.9072,769750659072
operation,stages.3.2,,pw2,,,,,167381127,1505280000,2359296,2359296,,,,0.0,0,12854870.5536,128548705536
operation,stages.3.2.dwconv,,depthwise_conv,,,,,,,,,768,7,7,1843968.0,18439680000,0.0,0
