actual/predicted,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,958,3,8,5,2,0,1,1,13,9
automobile,2,982,0,0,0,0,0,0,2,14
bird,15,0,920,16,19,10,16,3,1,0
cat,3,2,18,862,18,71,13,7,5,1
deer,0,1,9,9,954,6,10,11,0,0
dog,2,2,12,71,13,892,3,4,0,1
frog,4,1,12,8,5,1,969,0,0,0
horse,3,0,7,8,7,10,0,964,1,0
ship,14,2,3,2,0,0,1,0,974,4
truck,2,26,1,2,0,1,0,1,7,960
