mode,models,views_per_model,forward_passes_per_sample,loss,accuracy,correct,samples,seconds
none,1,1,1,1.2079654801368713,72.42,7242,10000,14.282146692276001
flip_shift,1,10,10,1.1693151737213134,73.91,7391,10000,19.481997966766357
