record_type,layer,measurement,operation,num_total,num_silent,num_spiking,sparsity_percent,input_events,input_neurons,nonzero_weights,weight_count,groups,kernel_h,kernel_w,dense_macs_per_sample,dense_macs_total_dataset,theoretical_synops_per_sample,theoretical_synops_total_dataset
operation,downsample_layers.2.0,,dense_conv,,,,,,,,,1,2,2,1179648.0,11796480000,0.0,0
operation,downsample_layers.3.0,,dense_conv,,,,,,,,,1,2,2,1179648.0,11796480000,0.0,0
operation,head,,dense_linear,,,,,,,,,,,,7680.0,76800000,0.0,0
operation,stages.0.0,,pw1,,,,,60398166,61440000,36864,36864,,,,0.0,0,2319289.5744,23192895744
operation,stages.0.0,,pw2,,,,,196293312,245760000,36864,36864,,,,0.0,0,1884415.7952,18844157952
operation,stages.0.0.dwconv,,depthwise_conv,,,,,,,,,96,7,7,301056.0,3010560000,0.0,0
operation,stages.0.1,,pw1,,,,,59978995,61440000,36864,36864,,,,0.0,0,2303193.408,23031934080
operation,stages.0.1,,pw2,,,,,166450605,245760000,36864,36864,,,,0.0,0,1597925.808,15979258080
operation,stages.0.1.dwconv,,depthwise_conv,,,,,,,,,96,7,7,301056.0,3010560000,0.0,0
operation,stages.0.2,,pw1,,,,,56383092,61440000,36864,36864,,,,0.0,0,2165110.7328,21651107328
operation,stages.0.2,,pw2,,,,,146368133,245760000,36864,36864,,,,0.0,0,1405134.0768,14051340768
operation,stages.0.2.dwconv,,depthwise_conv,,,,,,,,,96,7,7,301056.0,3010560000,0.0,0
operation,stages.1.0,,pw1,,,,,26268884,30720000,147456,147456,,,,0.0,0,2017450.2912,20174502912
operation,stages.1.0,,pw2,,,,,58618666,122880000,147456,147456,,,,0.0,0,1125478.3872,11254783872
operation,stages.1.0.dwconv,,depthwise_conv,,,,,,,,,192,7,7,150528.0,1505280000,0.0,0
operation,stages.1.1,,pw1,,,,,26758606,30720000,147456,147456,,,,0.0,0,2055060.9408,20550609408
operation,stages.1.1,,pw2,,,,,58266653,122880000,147456,147456,,,,0.0,0,1118719.7376,11187197376
operation,stages.1.1.dwconv,,depthwise_conv,,,,,,,,,192,7,7,150528.0,1505280000,0.0,0
operation,stages.1.2,,pw1,,,,,25592304,30720000,147456,147456,,,,0.0,0,1965488.9472,19654889472
operation,stages.1.2,,pw2,,,,,51989577,122880000,147456,147456,,,,0.0,0,998199.8784,9981998784
operation,stages.1.2.dwconv,,depthwise_conv,,,,,,,,,192,7,7,150528.0,1505280000,0.0,0
operation,stages.2.0,,pw1,,,,,13042836,15360000,589824,589824,,,,0.0,0,2003379.6096,20033796096
operation,stages.2.0,,pw2,,,,,23504978,61440000,589824,589824,,,,0.0,0,902591.1552,9025911552
operation,stages.2.0.dwconv,,depthwise_conv,,,,,,,,,384,7,7,75264.0,752640000,0.0,0
operation,stages.2.1,,pw1,,,,,15344917,15360000,589824,589824,,,,0.0,0,2356979.2512,23569792512
operation,stages.2.1,,pw2,,,,,45034164,61440000,589824,589824,,,,0.0,0,1729311.8976,17293118976
operation,stages.2.1.dwconv,,depthwise_conv,,,,,,,,,384,7,7,75264.0,752640000,0.0,0
operation,stages.2.2,,pw1,,,,,14978791,15360000,589824,589824,,,,0.0,0,2300742.2976,23007422976
operation,stages.2.2,,pw2,,,,,44175152,61440000,589824,589824,,,,0.0,0,1696325.8368,16963258368
operation,stages.2.2.dwconv,,depthwise_conv,,,,,,,,,384,7,7,75264.0,752640000,0.0,0
operation,stages.2.3,,pw1,,,,,14918780,15360000,589824,589824,,,,0.0,0,2291524.608,22915246080
operation,stages.2.3,,pw2,,,,,28737479,61440000,589824,589824,,,,0.0,0,1103519.1936,11035191936
operation,stages.2.3.dwconv,,depthwise_conv,,,,,,,,,384,7,7,75264.0,752640000,0.0,0
operation,stages.2.4,,pw1,,,,,14653707,15360000,589824,589824,,,,0.0,0,2250809.3952,22508093952
operation,stages.2.4,,pw2,,,,,26430147,61440000,589824,589824,,,,0.0,0,1014917.6448,10149176448
operation,stages.2.4.dwconv,,depthwise_conv,,,,,,,,,384,7,7,75264.0,752640000,0.0,0
operation,stages.2.5,,pw1,,,,,14902412,15360000,589824,589824,,,,0.0,0,2289010.4832,22890104832
operation,stages.2.5,,pw2,,,,,29499502,61440000,589824,589824,,,,0.0,0,1132780.8768,11327808768
operation,stages.2.5.dwconv,,depthwise_conv,,,,,,,,,384,7,7,75264.0,752640000,0.0,0
operation,stages.2.6,,pw1,,,,,14933223,15360000,589824,589824,,,,0.0,0,2293743.0528,22937430528
operation,stages.2.6,,pw2,,,,,41866554,61440000,589824,589824,,,,0.0,0,1607675.6736,16076756736
operation,stages.2.6.dwconv,,depthwise_conv,,,,,,,,,384,7,7,75264.0,752640000,0.0,0
operation,stages.2.7,,pw1,,,,,14390112,15360000,589824,589824,,,,0.0,0,2210321.2032,22103212032
operation,stages.2.7,,pw2,,,,,32636246,61440000,589824,589824,,,,0.0,0,1253231.8464,12532318464
operation,stages.2.7.dwconv,,depthwise_conv,,,,,,,,,384,7,7,75264.0,752640000,0.0,0
operation,stages.2.8,,pw1,,,,,13677784,15360000,589824,589824,,,,0.0,0,2100907.6224,21009076224
operation,stages.2.8,,pw2,,,,,28330329,61440000,589824,589824,,,,0.0,0,1087884.6336,10878846336
operation,stages.2.8.dwconv,,depthwise_conv,,,,,,,,,384,7,7,75264.0,752640000,0.0,0
operation,stages.3.0,,pw1,,,,,5777663,7680000,2359296,2359296,,,,0.0,0,1774898.0736,17748980736
operation,stages.3.0,,pw2,,,,,10156823,30720000,2359296,2359296,,,,0.0,0,780044.0064,7800440064
operation,stages.3.0.dwconv,,depthwise_conv,,,,,,,,,768,7,7,37632.0,376320000,0.0,0
operation,stages.3.1,,pw1,,,,,6562066,7680000,2359296,2359296,,,,0.0,0,2015866.6752,20158666752
operation,stages.3.1,,pw2,,,,,8461142,30720000,2359296,2359296,,,,0.0,0,649815.7056,6498157056
operation,stages.3.1.dwconv,,depthwise_conv,,,,,,,,,768,7,7,37632.0,376320000,0.0,0
operation,stages.3.2,,pw1,,,,,6476405,7680000,2359296,2359296,,,,0.0,0,1989551.616,19895516160
operation,stages.3.2,,pw2,,,,,9391212,30720000,2359296,2359296,,,,0.0,0,721245.0816,7212450816
operation,stages.3.2.dwconv,,depthwise_conv,,,,,,,,,768,7,7,37632.0,376320000,0.0,0
